N,F,f,m,r,pfail
4000,1/4,1/2,1333,51,0.018
4000,1/4,1/2,2000,51,0.015
4000,1/4,1/2,4000,51,0.011
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.033
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.014
4000,1/4,1/2,2000,51,0.032
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.032
4000,1/4,1/2,16000,51,0.04
4000,1/4,1/2,1000,51,0.011
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.02
4000,1/4,1/2,4000,51,0.026
4000,1/4,1/2,8000,51,0.028
4000,1/4,1/2,12000,51,0.026
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.014
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.018
4000,1/4,1/2,12000,51,0.025
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.017
4000,1/4,1/2,1333,51,0.02
4000,1/4,1/2,2000,51,0.023
4000,1/4,1/2,4000,51,0.029
4000,1/4,1/2,8000,51,0.027
4000,1/4,1/2,12000,51,0.02
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.009
4000,1/4,1/2,1333,51,0.02
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.026
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.035
4000,1/4,1/2,16000,51,0.017
4000,1/4,1/2,1000,51,0.01
4000,1/4,1/2,1333,51,0.027
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.024
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.026
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.009
4000,1/4,1/2,2000,51,0.023
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.038
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.012
4000,1/4,1/2,1333,51,0.01
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.02
4000,1/4,1/2,8000,51,0.03
4000,1/4,1/2,12000,51,0.039
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.034
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.021
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.026
4000,1/4,1/2,16000,51,0.027
4000,1/4,1/2,1000,51,0.022
4000,1/4,1/2,1333,51,0.02
4000,1/4,1/2,2000,51,0.027
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.039
4000,1/4,1/2,12000,51,0.025
4000,1/4,1/2,16000,51,0.027
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.012
4000,1/4,1/2,2000,51,0.025
4000,1/4,1/2,4000,51,0.028
4000,1/4,1/2,8000,51,0.02
4000,1/4,1/2,12000,51,0.018
4000,1/4,1/2,16000,51,0.034
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.013
4000,1/4,1/2,2000,51,0.03
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.033
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.02
4000,1/4,1/2,2000,51,0.028
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.037
4000,1/4,1/2,12000,51,0.022
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.028
4000,1/4,1/2,2000,51,0.012
4000,1/4,1/2,4000,51,0.028
4000,1/4,1/2,8000,51,0.032
4000,1/4,1/2,12000,51,0.028
4000,1/4,1/2,16000,51,0.026
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.011
4000,1/4,1/2,4000,51,0.02
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.018
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.008
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.029
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.031
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.018
4000,1/4,1/2,12000,51,0.034
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.023
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.028
4000,1/4,1/2,8000,51,0.029
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.019
4000,1/4,1/2,1000,51,0.018
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.02
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.036
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.022
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.028
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.017
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.015
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.033
4000,1/4,1/2,16000,51,0.018
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.024
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.024
4000,1/4,1/2,12000,51,0.028
4000,1/4,1/2,16000,51,0.019
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.011
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.02
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.013
4000,1/4,1/2,2000,51,0.02
4000,1/4,1/2,4000,51,0.017
4000,1/4,1/2,8000,51,0.03
4000,1/4,1/2,12000,51,0.023
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.026
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.026
4000,1/4,1/2,16000,51,0.037
4000,1/4,1/2,1000,51,0.012
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.025
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.038
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.018
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.028
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.019
4000,1/4,1/2,12000,51,0.019
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.016
4000,1/4,1/2,4000,51,0.029
4000,1/4,1/2,8000,51,0.027
4000,1/4,1/2,12000,51,0.028
4000,1/4,1/2,16000,51,0.018
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.02
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.019
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.022
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.012
4000,1/4,1/2,4000,51,0.02
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.02
4000,1/4,1/2,16000,51,0.037
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.024
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.028
4000,1/4,1/2,16000,51,0.027
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.023
4000,1/4,1/2,2000,51,0.011
4000,1/4,1/2,4000,51,0.033
4000,1/4,1/2,8000,51,0.029
4000,1/4,1/2,12000,51,0.023
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.023
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.023
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.02
4000,1/4,1/2,12000,51,0.022
4000,1/4,1/2,16000,51,0.02
4000,1/4,1/2,1000,51,0.018
4000,1/4,1/2,1333,51,0.018
4000,1/4,1/2,2000,51,0.016
4000,1/4,1/2,4000,51,0.026
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.029
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.014
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.033
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.014
4000,1/4,1/2,2000,51,0.02
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.016
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.019
4000,1/4,1/2,2000,51,0.016
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.025
4000,1/4,1/2,16000,51,0.031
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.029
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.018
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.029
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.039
4000,1/4,1/2,1000,51,0.028
4000,1/4,1/2,1333,51,0.012
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.028
4000,1/4,1/2,8000,51,0.035
4000,1/4,1/2,12000,51,0.018
4000,1/4,1/2,16000,51,0.022
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.012
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.027
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.018
4000,1/4,1/2,2000,51,0.028
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.038
4000,1/4,1/2,1000,51,0.012
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.018
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.027
4000,1/4,1/2,1000,51,0.022
4000,1/4,1/2,1333,51,0.012
4000,1/4,1/2,2000,51,0.014
4000,1/4,1/2,4000,51,0.018
4000,1/4,1/2,8000,51,0.018
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.033
4000,1/4,1/2,1000,51,0.011
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.02
4000,1/4,1/2,16000,51,0.033
4000,1/4,1/2,1000,51,0.025
4000,1/4,1/2,1333,51,0.012
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.033
4000,1/4,1/2,12000,51,0.023
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.027
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.018
4000,1/4,1/2,12000,51,0.023
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.015
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.021
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.012
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.02
4000,1/4,1/2,1000,51,0.022
4000,1/4,1/2,1333,51,0.014
4000,1/4,1/2,2000,51,0.016
4000,1/4,1/2,4000,51,0.037
4000,1/4,1/2,8000,51,0.032
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.018
4000,1/4,1/2,1333,51,0.01
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.018
4000,1/4,1/2,16000,51,0.027
4000,1/4,1/2,1000,51,0.025
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.013
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.029
4000,1/4,1/2,12000,51,0.033
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.009
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.012
4000,1/4,1/2,4000,51,0.02
4000,1/4,1/2,8000,51,0.014
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.016
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.019
4000,1/4,1/2,8000,51,0.02
4000,1/4,1/2,12000,51,0.022
4000,1/4,1/2,16000,51,0.022
4000,1/4,1/2,1000,51,0.008
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.016
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.046
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.02
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.036
4000,1/4,1/2,1000,51,0.01
4000,1/4,1/2,1333,51,0.023
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.015
4000,1/4,1/2,12000,51,0.032
4000,1/4,1/2,16000,51,0.03
4000,1/4,1/2,1000,51,0.022
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.015
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.024
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.02
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.024
4000,1/4,1/2,1333,51,0.016
4000,1/4,1/2,2000,51,0.017
4000,1/4,1/2,4000,51,0.033
4000,1/4,1/2,8000,51,0.034
4000,1/4,1/2,12000,51,0.022
4000,1/4,1/2,16000,51,0.039
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.036
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.022
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.032
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.016
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.012
4000,1/4,1/2,1333,51,0.014
4000,1/4,1/2,2000,51,0.013
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.032
4000,1/4,1/2,12000,51,0.037
4000,1/4,1/2,16000,51,0.037
4000,1/4,1/2,1000,51,0.01
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.03
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.022
4000,1/4,1/2,1333,51,0.014
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.028
4000,1/4,1/2,12000,51,0.025
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.019
4000,1/4,1/2,1333,51,0.018
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.029
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.022
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.019
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.03
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.035
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.023
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.029
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.009
4000,1/4,1/2,2000,51,0.015
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.017
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.032
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.032
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.018
4000,1/4,1/2,2000,51,0.027
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.026
4000,1/4,1/2,12000,51,0.031
4000,1/4,1/2,16000,51,0.037
4000,1/4,1/2,1000,51,0.01
4000,1/4,1/2,1333,51,0.013
4000,1/4,1/2,2000,51,0.022
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.02
4000,1/4,1/2,16000,51,0.031
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.021
4000,1/4,1/2,2000,51,0.03
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.028
4000,1/4,1/2,16000,51,0.027
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.029
4000,1/4,1/2,12000,51,0.026
4000,1/4,1/2,16000,51,0.028
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.018
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.025
4000,1/4,1/2,2000,51,0.021
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.022
4000,1/4,1/2,16000,51,0.033
4000,1/4,1/2,1000,51,0.015
4000,1/4,1/2,1333,51,0.024
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.017
4000,1/4,1/2,8000,51,0.022
4000,1/4,1/2,12000,51,0.025
4000,1/4,1/2,16000,51,0.033
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.016
4000,1/4,1/2,4000,51,0.028
4000,1/4,1/2,8000,51,0.027
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.025
4000,1/4,1/2,1000,51,0.018
4000,1/4,1/2,1333,51,0.023
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.021
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.028
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.027
4000,1/4,1/2,16000,51,0.033
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.019
4000,1/4,1/2,2000,51,0.014
4000,1/4,1/2,4000,51,0.033
4000,1/4,1/2,8000,51,0.024
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.017
4000,1/4,1/2,1000,51,0.027
4000,1/4,1/2,1333,51,0.019
4000,1/4,1/2,2000,51,0.013
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.018
4000,1/4,1/2,12000,51,0.023
4000,1/4,1/2,16000,51,0.018
4000,1/4,1/2,1000,51,0.012
4000,1/4,1/2,1333,51,0.015
4000,1/4,1/2,2000,51,0.017
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.033
4000,1/4,1/2,12000,51,0.035
4000,1/4,1/2,16000,51,0.023
4000,1/4,1/2,1000,51,0.016
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.023
4000,1/4,1/2,4000,51,0.033
4000,1/4,1/2,8000,51,0.02
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.021
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.017
4000,1/4,1/2,2000,51,0.024
4000,1/4,1/2,4000,51,0.016
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.021
4000,1/4,1/2,16000,51,0.026
4000,1/4,1/2,1000,51,0.018
4000,1/4,1/2,1333,51,0.016
4000,1/4,1/2,2000,51,0.017
4000,1/4,1/2,4000,51,0.021
4000,1/4,1/2,8000,51,0.03
4000,1/4,1/2,12000,51,0.034
4000,1/4,1/2,16000,51,0.036
4000,1/4,1/2,1000,51,0.01
4000,1/4,1/2,1333,51,0.008
4000,1/4,1/2,2000,51,0.025
4000,1/4,1/2,4000,51,0.023
4000,1/4,1/2,8000,51,0.031
4000,1/4,1/2,12000,51,0.029
4000,1/4,1/2,16000,51,0.037
4000,1/4,1/2,1000,51,0.02
4000,1/4,1/2,1333,51,0.019
4000,1/4,1/2,2000,51,0.025
4000,1/4,1/2,4000,51,0.024
4000,1/4,1/2,8000,51,0.023
4000,1/4,1/2,12000,51,0.024
4000,1/4,1/2,16000,51,0.024
4000,1/4,1/2,1000,51,0.014
4000,1/4,1/2,1333,51,0.024
4000,1/4,1/2,2000,51,0.026
4000,1/4,1/2,4000,51,0.027
4000,1/4,1/2,8000,51,0.025
4000,1/4,1/2,12000,51,0.019
4000,1/4,1/2,16000,51,0.031
4000,1/4,1/2,1000,51,0.013
4000,1/4,1/2,1333,51,0.022
4000,1/4,1/2,2000,51,0.019
4000,1/4,1/2,4000,51,0.025
4000,1/4,1/2,8000,51,0.015
4000,1/4,1/2,12000,51,0.018
4000,1/4,1/2,16000,51,0.022
